studentID,country,activityID,activitytype,level,cog_adaptability,correct_categories,trials_total,set_shifting,perseverative_responses,errors,errors_per_trial,hits,hits_per_trial,rule_maintain,meanRT,RT_correct,RT_incorrect
PTP-3,PT,32,cognitiveflexibility,1,24,3,90,3,3,12,0.133333333333333,78,0.8,5,2412.83333333333,2043.54166666667,3268.6
PTP-3,PT,33,cognitiveflexibility,2,11,2,90,4,2,12,0.133333333333333,78,0.8,7,2241.7,2017.72222222222,2820.42857142857
PTP-3,PT,34,cognitiveflexibility,3,15,4,90,3,3,10,0.111111111111111,80,0.833333333333333,6,2844.86666666667,2668.78666666667,1791
PTP-4,PT,76,cognitiveflexibility,1,27,1,90,4,2,15,0.166666666666667,75,0.777777777777778,8,2805.88888888889,2347.8,3510.625
PTP-4,PT,77,cognitiveflexibility,2,14,3,68,5,1,8,0.117647058823529,60,0.794117647058823,0,3049.23529411765,2254.35185185185,0
PTP-4,PT,78,cognitiveflexibility,3,9,3,65,5,1,5,0.0769230769230769,60,0.830769230769231,0,1818.64615384615,1550.48148148148,0
PTP-4,PT,7,cognitiveflexibility,1,49,2,90,4,2,19,0.211111111111111,71,0.733333333333333,14,3574.11111111111,2462.01515151515,4507.5
PTP-4,PT,8,cognitiveflexibility,2,15,4,80,3,3,11,0.1375,69,0.7875,6,3293.1875,2663.38095238095,5660.16666666667
PTP-4,PT,9,cognitiveflexibility,3,14,3,63,1,5,2,0.0317460317460317,61,0.873015873015873,1,3409.26984126984,3074.25454545455,866
PTP-5,PT,36,cognitiveflexibility,1,40,2,90,4,2,18,0.2,72,0.733333333333333,10,2894.36666666667,2659.21212121212,2697.6
PTP-5,PT,37,cognitiveflexibility,2,52,2,90,2,4,16,0.177777777777778,74,0.766666666666667,13,3936.2,3414,5251.30769230769
PTP-5,PT,38,cognitiveflexibility,3,68,2,90,3,3,19,0.211111111111111,71,0.733333333333333,14,4727.34444444444,4011.0303030303,6103.07142857143
PTP-6,PT,54,cognitiveflexibility,2,21,3,84,1,5,7,0.0833333333333333,77,0.845238095238095,6,2245.2380952381,2065.69014084507,3014.5
PTP-6,PT,55,cognitiveflexibility,3,15,5,74,1,5,4,0.0540540540540541,70,0.864864864864865,3,2772.01351351351,2251.484375,1330.66666666667
PTP-6,PT,49,cognitiveflexibility,1,55,1,90,3,3,14,0.155555555555556,76,0.777777777777778,8,2368.94444444444,2122.9,2531.5
PTP-7,PT,62,cognitiveflexibility,1,9,4,80,2,4,5,0.0625,75,0.8625,2,3431.2375,2017.04347826087,8990
PTP-7,PT,63,cognitiveflexibility,2,17,3,74,1,5,4,0.0540540540540541,70,0.864864864864865,3,2712.60810810811,2231.046875,6001
PTP-7,PT,64,cognitiveflexibility,3,9,4,64,3,3,4,0.0625,60,0.84375,0,3446.5,2533.01851851852,0
ROP-10,RO,70,cognitiveflexibility,1,90,0,90,3,3,23,0.255555555555556,67,0.7,15,3199.53333333333,2923.36507936508,3603.93333333333
ROP-10,RO,71,cognitiveflexibility,2,9,2,82,5,1,12,0.146341463414634,70,0.780487804878049,6,4602.71951219512,3801.140625,4856.5
ROP-10,RO,72,cognitiveflexibility,3,19,1,90,4,2,16,0.177777777777778,74,0.777777777777778,12,4910.64444444444,4465.25714285714,7062
ROP-11,RO,115,cognitiveflexibility,1,90,0,90,1,5,67,0.744444444444444,23,0.233333333333333,64,5943.4,7950.28571428571,5504.0625
ROP-12,RO,168,cognitiveflexibility,1,90,0,90,1,5,33,0.366666666666667,57,0.611111111111111,30,2069.53333333333,2167.10909090909,1927.63333333333
ROP-12,RO,169,cognitiveflexibility,2,90,0,90,2,4,30,0.333333333333333,60,0.644444444444444,24,2648.06666666667,2493.03448275862,2555.41666666667
ROP-12,RO,174,cognitiveflexibility,3,69,0,70,1,5,29,0.414285714285714,40,0.528571428571429,28,4257.11594202899,3023.21621621622,5034.17857142857
ROP-12,RO,1741,cognitiveflexibility,3,90,0,90,2,4,46,0.511111111111111,44,0.455555555555556,44,3722.06666666667,3827.14634146341,3157.04545454545
ROP-2,RO,29,cognitiveflexibility,1,90,0,90,1,5,41,0.455555555555556,49,0.533333333333333,37,1686.54444444444,1623.89583333333,1517.7027027027
ROP-2,RO,30,cognitiveflexibility,2,90,0,90,1,5,59,0.655555555555556,31,0.333333333333333,53,1366.4,1302.33333333333,1138.39622641509
ROP-2,RO,31,cognitiveflexibility,3,90,0,90,1,5,69,0.766666666666667,21,0.222222222222222,67,1497.28888888889,1647.75,1443.4328358209
ROP-3,RO,27,cognitiveflexibility,1,90,0,90,1,5,48,0.533333333333333,42,0.455555555555556,47,6437.86666666667,5726.12195121951,6763.42553191489
ROP-6,RO,19,cognitiveflexibility,1,36,2,90,5,1,16,0.177777777777778,74,0.755555555555556,6,1814.28888888889,1669.60294117647,2405
ROP-6,RO,20,cognitiveflexibility,2,27,2,90,4,2,11,0.122222222222222,79,0.811111111111111,7,1728.62222222222,1714.46575342466,1844.14285714286
ROP-6,RO,21,cognitiveflexibility,3,9,4,65,4,2,5,0.0769230769230769,60,0.830769230769231,0,1728.81538461538,1481.66666666667,0
ROP-8,RO,126,cognitiveflexibility,1,9,2,90,3,3,24,0.266666666666667,66,0.7,14,2313.63333333333,2035.79365079365,2477.42857142857
ROP-8,RO,127,cognitiveflexibility,2,9,2,90,5,1,23,0.255555555555556,67,0.677777777777778,7,2596.82222222222,2183.93442622951,1764.57142857143
ROP-8,RO,128,cognitiveflexibility,3,90,0,90,3,3,33,0.366666666666667,57,0.588888888888889,21,3523.02222222222,2587.07547169811,5107.38095238095
ROP-9,RO,67,cognitiveflexibility,1,25,1,70,5,1,10,0.142857142857143,60,0.771428571428571,0,6149.38571428571,4139.03703703704,0
ROP-9,RO,68,cognitiveflexibility,2,11,4,78,5,1,9,0.115384615384615,69,0.807692307692308,1,3301.70512820513,2183.79365079365,2300
ROP-9,RO,69,cognitiveflexibility,3,15,2,90,1,5,13,0.144444444444444,77,0.822222222222222,11,3972.58888888889,3894.2972972973,3283.45454545455
