studentID,country,activityID,activitytype,level,correctemotion,emotion,emotionIntensity,maladaptative,naming,understanding,regulation
PTP-4,PT,51,emotioncornhole,1,0,2,1,0,0,100,1
PTP-4,PT,81,emotioncornhole,2,0,6,1,0,0,100,1
PTP-4,PT,53,emotioncornhole,1,0,1,3,0,0,100,1
PTP-4,PT,64,emotioncornhole,2,0,4,0,0,0,100,1
PTP-5,PT,23,emotioncornhole,1,0,3,1,0.25,0,100,0.75
PTP-6,PT,61,emotioncornhole,1,0,4,0,0.2,0,100,0.8
PTP-7,PT,65,emotioncornhole,1,0,0,1,0,0,100,1
PTP-8,PT,82,emotioncornhole,1,0,4,0,0.2,0,100,0.8
PTP-8,PT,85,emotioncornhole,2,0,8,3,0.25,0,100,0.75
ROP-10,RO,110,emotioncornhole,1,0,1,3,0,0,100,1
ROP-10,RO,163,emotioncornhole,2,0,7,3,0.25,0,100,0.75
ROP-11,RO,80,emotioncornhole,1,0,1,3,0,0,100,1
ROP-11,RO,117,emotioncornhole,2,0,5,3,0.25,0,100,0.75
ROP-12,RO,171,emotioncornhole,1,0,1,3,0.333333333333333,0,100,0.666666666666667
ROP-2,RO,39,emotioncornhole,1,0,3,3,0.25,0,100,0.75
ROP-2,RO,40,emotioncornhole,2,0,5,3,0,0,100,1
ROP-2,RO,42,emotioncornhole,1,0,0,3,0,0,100,1
ROP-4,RO,14,emotioncornhole,1,0,4,0,0,0,100,1
ROP-4,RO,15,emotioncornhole,1,0,0,1,0,0,100,1
ROP-6,RO,101,emotioncornhole,1,0,0,3,0.25,0,100,0.75
ROP-6,RO,186,emotioncornhole,2,0,7,3,0,0,100,1
ROP-7,RO,53,emotioncornhole,1,0,1,1,0,0,100,1
ROP-8,RO,56,emotioncornhole,1,0,2,3,0,0,100,1
ROP-8,RO,137,emotioncornhole,2,0,8,3,0.5,0,100,0.5
ROP-9,RO,62,emotioncornhole,1,0,1,1,0.25,0,100,0.75
ROP-9,RO,152,emotioncornhole,2,0,7,3,0.25,0,100,0.75
