studentID,country,activityID,activitytype,level,omission_errors,inhib_score,resilience,all_errors,meanRT,RT_correct,RT_incorrect,task_process_congruent,task_process_incongruent,RT_congruent,RT_incongruent
PTP-3,PT,33,inhibition,1,0,12,0,0,1447.16666666667,2894.33333333333,0,0,0,1326.91666666667,1567.41666666667
PTP-3,PT,34,inhibition,2,1,11,1,0,640.058333333333,1280.11666666667,0,0,0,587.916666666667,692.2
PTP-3,PT,35,inhibition,3,5,7,5,0,534.35,1068.7,0,0,0,534.2,534.5
PTP-4,PT,54,inhibition,1,1,11,0,1,1324.30833333333,1956.11666666667,692.5,1,0,1513.2,1135.41666666667
PTP-4,PT,56,inhibition,3,1,11,0,1,1324.30833333333,1956.11666666667,692.5,1,0,1513.2,1135.41666666667
PTP-4,PT,42,inhibition,1,0,12,0,0,2061.54166666667,4123.08333333333,0,0,0,959.083333333333,3164
PTP-4,PT,43,inhibition,2,4,8,4,0,776.75,1553.5,0,0,0,788.125,765.375
PTP-4,PT,44,inhibition,2,0,12,0,0,701.291666666667,1402.58333333333,0,0,0,647.333333333333,755.25
PTP-6,PT,56,inhibition,1,1,11,0,1,3503.60833333333,4840.21666666667,2167,0,1,1591.91666666667,5415.3
PTP-6,PT,57,inhibition,2,1,11,1,0,530.433333333333,1060.86666666667,0,0,0,489.7,571.166666666667
PTP-6,PT,58,inhibition,3,2,10,1,1,654.6,856.2,453,1,0,826.2,483
ROP-10,RO,159,inhibition,1,0,12,0,0,1176.83333333333,2353.66666666667,0,0,0,1259.5,1094.16666666667
ROP-10,RO,161,inhibition,3,4,9,4,0,589.125,1178.25,0,0,0,457.166666666667,721.083333333333
ROP-11,RO,183,inhibition,3,0,12,0,0,1225.71428571429,2451.42857142857,0,0,0,999.428571428571,1452
ROP-12,RO,88,inhibition,1,7,5,0,7,1428.04166666667,1600.83333333333,1255.25,3,4,1423.83333333333,1432.25
ROP-2,RO,35,inhibition,1,5,7,0,5,2177.7125,2328.8,2026.625,1,4,2141.8,2213.625
ROP-2,RO,36,inhibition,2,7,5,7,0,868.4375,1736.875,0,0,0,861.375,875.5
ROP-2,RO,37,inhibition,3,9,3,7,2,452.833333333333,417.666666666667,488,0,2,417.666666666667,488
ROP-3,RO,28,inhibition,1,6,6,0,6,1016.54166666667,393.75,1639.33333333333,0,6,393.75,1639.33333333333
ROP-5,RO,18,inhibition,1,6,6,0,6,287.458333333333,225.666666666667,349.25,0,6,225.666666666667,349.25
ROP-6,RO,188,inhibition,1,0,12,0,0,811.041666666667,1622.08333333333,0,0,0,743.5,878.583333333333
ROP-6,RO,190,inhibition,3,1,12,1,0,602.021428571428,1204.04285714286,0,0,0,556.9,647.142857142857
ROP-7,RO,47,inhibition,2,7,5,4,3,753.683333333333,751.2,756.166666666667,0,3,751.2,756.166666666667
ROP-7,RO,48,inhibition,3,10,2,8,2,561.875,572.25,551.5,0,2,572.25,551.5
ROP-8,RO,123,inhibition,1,0,12,0,0,850.75,1701.5,0,0,0,684.916666666667,1016.58333333333
ROP-9,RO,140,inhibition,1,1,11,0,1,8220.85,4841.7,11600,0,1,1166,15275.7
ROP-9,RO,141,inhibition,2,4,8,4,0,791.433333333333,1582.86666666667,0,0,0,762.2,820.666666666667
ROP-9,RO,142,inhibition,3,9,3,7,2,411.083333333333,504.166666666667,318,0,2,504.166666666667,318

